000000000000000000000010000000000100	000000000000001000000000000000000000	10000	7.77156e-16	nan	-1.11022e-16	0	0	10000	10000	0.8	0	0	0	0	nan	0	0	10000	0	0	0	0	nan	0	0	0	0	0	2.4	1.2	0	0	0	0	0	10000	0
000000000000000000000010000000000100	000000000000001000000000100000000000	0	0	nan	0	0	0	0	0	-1.2	-1.2	-1.2	nan	0	nan	0	0	-1.2	-1.2	-1.2	0	0	nan	0	0	-8.88178e-16	0	-1.2	0	0	-1.22125e-15	0	0	-1.2	0	-1.2	-1.2
000000000000000000000010000000100100	000000000000001000000000100000000000	0	0	nan	0	0	nan	10000	10000	1.2	0	0	nan	0	nan	0	0	0	10000	10000	10000	10000	nan	10000	0	10000	10000	10000	1.2	10000	1.2	0	0	0	0	10000	0
000000000000000000000010000000100100	000000000000001000000000100000010000	-1.2	-1.2	nan	0	nan	nan	0	0	0	-10000	-1.2	nan	0	nan	0	0	0	-1.2	-1.2	0	0	nan	0	0	-10000	0	-10000	-10000	0	-10000	0	0	0	0	-10000	0
000000000000000000000010000000100110	000000000000001000000000100000010000	0	nan	nan	-1.2	nan	nan	10000	10000	10000	10000	10000	nan	0	nan	0	0	0	10000	10000	0	10000	nan	-1.33227e-15	0	10000	10000	10000	10000	10000	10000	0	10000	0	0	10000	0
000000000000000000000010000000100110	000000000000001100000000100000010000	-10000	nan	nan	10000	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	-10000	nan	-10000	-10000	-10000	-10000	-10000	-10000	nan	nan	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
000000000000010000000010000000100110	000000000000001100000000100000010000	0	nan	nan	0	nan	nan	10000	10000	10000	0	0	nan	-10000	nan	0	10000	10000	10000	-10000	-10000	nan	nan	nan	0	10000	10000	0	10000	0	0	0	10000	0	0	10000	10000
000000000000010000000010000000100110	000000000000001100000001100000010000	-10000	nan	nan	-10000	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
000000010000010000000010000000100110	000000000000001100000001100000010000	0	nan	nan	-10000	nan	nan	0	10000	10000	-10000	-10000	nan	nan	nan	0	0	10000	10000	-10000	-10000	nan	nan	nan	0	0	10000	10000	10000	nan	10000	0	0	0	0	0	10000
000000010000010000000010000000100110	000000000010001100000001100000010000	-10000	nan	nan	10000	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	-10000	nan	-10000	-10000	nan	0	0	-10000	-10000	-10000	-10000	-10000
000000010000010000001010000000100110	000000000010001100000001100000010000	10000	nan	nan	-10000	nan	nan	10000	0	10000	-10000	-10000	nan	nan	nan	0	nan	10000	10000	-10000	-10000	nan	nan	nan	10000	10000	nan	10000	10000	nan	10000	0	10000	10000	10000	10000	10000
000000010000010000001010000000100110	000000000010001100000001100000011000	-10000	nan	nan	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	nan	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	-10000	nan	-10000	-10000	nan	-10000	-10000	-10000	-10000	-10000	-10000	-10000
000001010000010000001010000000100110	000000000010001100000001100000011000	10000	nan	nan	nan	nan	nan	10000	10000	10000	-10000	-10000	nan	nan	nan	10000	nan	10000	10000	10000	-10000	nan	nan	nan	10000	10000	nan	10000	0	nan	10000	nan	10000	10000	10000	10000	10000
000001010000010000001010000000100110	000000000010001101000001100000011000	-10000	nan	nan	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	nan	nan	-10000	nan	-10000	-10000	nan	10000	nan	nan	nan	-10000	-10000	nan	-10000	-10000	nan	-10000	nan	-10000	-10000	-10000	-10000	-10000
000001010000010010001010000000100110	000000000010001101000001100000011000	10000	nan	nan	nan	nan	nan	10000	10000	10000	10000	10000	nan	nan	nan	10000	nan	10000	10000	nan	nan	nan	nan	nan	10000	10000	nan	10000	10000	nan	10000	nan	10000	10000	10000	10000	10000
000001010000010010001010000000100110	000000000010001101000001110000011000	-10000	nan	nan	nan	nan	nan	-10000	-10000	-10000	10000	nan	nan	nan	nan	-10000	nan	-10000	-10000	nan	nan	nan	nan	nan	-10000	-10000	nan	-10000	-10000	nan	-10000	nan	-10000	-10000	-10000	-10000	-10000
000001010000010010001010001000100110	000000000010001101000001110000011000	10000	nan	nan	nan	nan	nan	10000	10000	10000	nan	nan	nan	nan	nan	10000	nan	10000	10000	nan	nan	nan	nan	nan	10000	10000	nan	10000	10000	nan	10000	nan	10000	10000	10000	10000	10000
000001010000010010001010001000100110	000000000010001101000001110001011000	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	10000	nan	10000	0	nan	nan	nan	nan	nan	10000	0	nan	0	0	nan	10000	nan	10000	10000	0	0	0
000001110000010010001010001000100110	000000000010001101000001110001011000	10000	nan	nan	nan	nan	nan	nan	10000	10000	nan	nan	nan	nan	nan	10000	nan	10000	10000	nan	nan	nan	nan	nan	10000	10000	nan	10000	10000	nan	nan	nan	10000	10000	10000	10000	10000
000001110000010010001010001000100110	000010000010001101000001110001011000	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	10000	nan	10000	0	nan	nan	nan	nan	nan	10000	0	nan	0	10000	nan	nan	nan	nan	10000	0	0	0
000000000000000000000000000000000000	000000000000000000000000000000000000	-2.22045e-16	-2.22045e-16	0	-1.2	0	-1.2	-1.2	-2.22045e-16	5.55112e-16	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	-5.55112e-16	-1.2	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	1.2	-2.4	5.55112e-16	-2.22045e-16	-1.2	-1.2	1.2	-1.2	-2.22045e-16	-2.22045e-16	-2.22045e-16
000000000010000000000000000000000000	000000000000000000000000000000000000	0	0	0	0	0	0	0	1.2	0	1.2	0	0	0	0	0	0	0	1.2	1.2	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	1.2	0	1.2
000000000010000000000000000000000000	000000000000000000000000000000010000	-1.2	0	0	0	nan	0	0	-1.2	-1.2	-2.4	-1.2	0	0	0	0	0	0	-2.4	-2.4	0	0	0	0	0	0	nan	-1.2	-1.2	-1.2	0	0	0	0	0	0	-2.4
000000000010000000000000000010000000	000000000000000000000000000000010000	0	0	0	0	nan	-1.2	0	nan	0	1.2	10000	10000	0	0	0	0	0	0	1.2	10000	0	0	0	0	0	nan	0	3.8	0	0	0	0	0	0	0	0
000000000010000000000000000010000000	000000000000000000010000000000010000	-1.2	-2.4	0	0	nan	0	0	nan	-1.2	-1.2	-1.2	-10000	-10000	0	0	0	nan	-1.2	-10000	-10000	-10000	-10000	-0.4	0	0	nan	0	0	-10000	-1.2	0	0	0	0	-1.2	-10000
000000000010000000001000000010000000	000000000000000000010000000000010000	10000	10000	10000	10000	nan	0	0	nan	10000	10000	10000	10000	10000	10000	10000	nan	nan	10000	10000	10000	10000	10000	0	0	0	nan	10000	10000	10000	10000	10000	0	0	0	10000	10000
000000000010000000001000000010000000	000000000000000000010000000000110000	-10000	-10000	-1.2	0	nan	nan	-1.2	nan	-10000	-10000	-10000	-10000	-10000	-10000	-10000	nan	nan	-10000	-10000	-10000	-10000	-10000	-1.2	10000	-1.2	nan	-10000	-10000	-10000	-10000	-10000	-1.2	-10000	-10000	-10000	-10000
