0	1	5	9	20	4423
1	0	5	10	19	9360
0	1	2	11	4	8895
1	0	3	12	28	6217
0	1	4	13	10	1893
1	0	4	14	9	7194
0	1	1	15	6	13675
1	0	4	16	5	7689
0	1	3	17	32	992
1	0	3	18	22	22830
0	1	1	19	24	15545
1	0	2	20	33	21129
0	1	2	21	3	2670
1	0	3	22	29	28714
0	1	4	23	27	2502
1	0	2	24	16	27773
0	0	3	0	21	2435
1	1	4	1	23	2921
0	0	1	2	20	2690
1	1	1	3	19	7620
0	0	4	4	13	2700
1	1	2	5	5	6850
0	0	2	6	11	5382
1	1	4	7	12	8371
0	0	4	8	31	3144
1	1	4	9	1	4007
0	0	2	10	22	11027
1	1	2	11	4	11685
0	0	3	12	14	5790
1	1	3	13	3	18059
0	0	2	14	2	2399
1	1	5	15	6	2098
1	0	3	0	23	27440
0	1	3	1	11	2422
1	0	3	2	21	7890
0	1	3	3	22	3712
1	0	2	4	13	5945
0	1	2	5	29	2305
1	0	5	6	25	8184
0	1	2	7	12	3643
1	0	2	8	19	14909
0	1	2	9	20	5379
1	0	1	10	2	4518
0	1	5	11	28	2301
1	0	2	12	4	6665
0	1	2	13	30	5434
1	0	4	14	31	12882
0	1	2	15	27	1884
0	0	2	0	11	1648
1	1	4	1	32	5898
0	0	1	2	12	1415
1	1	3	3	13	4991
0	0	5	4	20	2901
1	1	5	5	10	10516
0	0	1	6	21	1553
1	1	1	7	19	8251
0	0	5	8	29	2918
1	1	2	9	2	5725
0	0	1	10	28	3376
1	1	5	11	4	15636
0	0	4	12	30	2641
1	1	2	13	3	7433
0	0	5	14	27	1406
1	0	4	0	20	8361
0	1	5	1	14	3469
1	0	4	2	24	5572
0	1	5	3	13	1084
1	0	2	4	15	4358
0	1	4	5	32	2513
1	0	1	6	23	17600
0	1	3	7	22	3081
1	0	4	8	12	6400
0	1	2	9	31	3256
1	0	3	10	4	5850
0	1	2	11	28	1960
1	0	3	12	6	17382
0	1	4	13	30	1940
1	0	4	14	29	6034
0	1	3	15	33	1743
0	0	4	0	11	1683
1	1	2	1	23	3735
0	0	4	2	12	1164
1	1	2	3	13	5216
0	0	5	4	20	1325
1	1	5	5	10	10658
0	0	1	6	30	2572
1	1	4	7	21	8452
0	0	2	8	29	2501
1	1	1	9	2	9970
0	0	2	10	28	824
1	1	1	11	4	10479
0	0	4	12	27	1236
1	0	1	0	29	4237
0	1	2	1	14	2088
1	0	3	2	30	4922
0	1	1	3	31	3184
1	0	4	4	32	4232
0	1	4	5	22	1760
1	0	2	6	13	7518
0	1	3	7	24	4053
1	0	2	8	23	13807
0	1	4	9	6	13237
1	0	5	10	34	17357
0	1	5	11	7	5823
1	0	1	12	33	14676
0	1	5	13	35	1737
1	0	1	14	3	1797
0	0	5	0	21	1347
1	1	4	1	32	3219
0	0	2	2	20	1813
1	1	5	3	22	9248
0	0	5	4	2	5007
1	1	3	5	16	18328
0	0	4	6	11	1174
1	1	4	7	29	3226
0	0	2	8	1	6944
1	1	3	9	31	5636
0	0	4	10	30	1798
1	1	1	11	12	17302
0	0	2	12	3	7561
1	1	2	13	4	6358
0	0	5	14	0	1368
1	0	5	0	20	6983
0	1	1	1	14	1535
1	0	1	2	4	5632
0	1	5	3	15	1287
1	0	5	4	13	6340
0	1	1	5	22	1363
1	0	5	6	6	8120
0	1	2	7	5	2953
1	0	4	8	16	33491
0	1	2	9	23	3002
1	0	1	10	32	4535
0	1	1	11	24	1941
1	0	3	12	25	6542
0	1	2	13	21	1037
2	0	5	0	13	2641
3	1	1	1	14	9405
2	0	1	2	12	2825
3	1	3	3	11	2821
2	0	1	4	3	4132
3	0	1	0	13	2721
2	1	5	1	12	3487
3	0	1	2	22	1986
2	1	5	3	4	1968
3	0	2	4	2	2715
2	1	2	5	20	3666
3	0	3	6	6	2952
2	1	2	7	28	1894
2	0	2	0	13	2770
3	1	1	1	14	2028
2	0	1	2	12	1937
3	1	2	3	24	2626
2	0	2	4	4	3011
3	1	5	5	32	2208
2	0	3	6	31	5352
3	1	2	7	15	8585
2	0	4	8	22	1934
3	0	1	0	13	4460
2	1	5	1	12	1799
3	0	3	2	2	2722
2	1	1	3	11	1757
3	0	4	4	3	1631
2	1	1	5	4	2642
3	0	5	6	1	3008
2	1	3	7	0	1343
3	0	3	8	20	2134
2	1	5	9	9	1944
3	0	2	10	18	2548
2	1	4	11	10	1153
2	0	1	0	13	2224
3	1	2	1	12	2453
2	0	4	2	14	3429
3	1	2	3	6	2449
2	0	3	4	15	1618
3	1	4	5	16	2078
2	0	1	6	5	4043
3	1	3	7	4	4127
2	0	2	8	21	2925
3	1	4	9	29	2213
2	0	5	10	32	6460
3	1	5	11	20	2398
2	0	2	12	23	1115
3	0	5	0	13	4575
2	1	3	1	12	1442
3	0	4	2	11	3077
2	1	1	3	3	2351
3	0	2	4	21	4537
2	1	1	5	20	1959
3	0	1	6	29	2111
2	1	2	7	5	2125
3	0	4	8	1	3613
2	1	4	9	31	2032
3	0	5	10	4	3704
2	1	2	11	14	15451
3	0	1	12	2	6076
2	1	3	13	32	6603
3	0	3	14	23	3943
2	1	3	15	22	7743
3	0	5	16	15	9149
2	1	1	17	6	3134
3	0	3	18	7	2225
2	1	5	19	30	1781
2	0	2	0	13	2587
3	1	2	1	16	820
2	0	5	2	12	222
3	1	4	3	21	897
2	0	5	4	14	2101
3	1	1	5	23	17
2	0	2	6	11	1677
3	0	5	0	13	1250
2	1	1	1	12	2634
3	0	2	2	23	1255
2	1	4	3	3	1575
3	0	2	4	21	1060
2	1	2	5	4	2553
3	0	3	6	5	1297
2	1	4	7	29	1708
3	0	4	8	22	2802
2	1	5	9	20	1486
3	0	4	10	11	1357
2	1	1	11	28	1727
2	0	1	0	13	4334
3	1	5	1	12	2270
2	0	2	2	14	1946
3	1	3	3	3	194
